Country Name,Country Code,sex,year,avg_schooling_years
Aruba,ABW,both,1991,6.56583
Aruba,ABW,both,2000,8.64122
Aruba,ABW,both,2010,8.38881
Afghanistan,AFG,both,1975,0.74643
Afghanistan,AFG,both,1979,0.83322
Angola,AGO,both,2014,3.99596
Albania,ALB,both,2001,8.74141
Albania,ALB,both,2008,9.16803
Albania,ALB,both,2011,9.90485
Albania,ALB,both,2012,10.14573
Andorra,AND,both,2003,10.13419
Andorra,AND,both,2004,10.51522
Andorra,AND,both,2005,9.8935
Andorra,AND,both,2006,10.21304
Andorra,AND,both,2014,10.59014
Andorra,AND,both,2015,10.51871
Andorra,AND,both,2016,10.50176
United Arab Emirates,ARE,both,1975,2.97648
United Arab Emirates,ARE,both,2005,9.10385
United Arab Emirates,ARE,both,2016,10.92346
United Arab Emirates,ARE,both,2017,12.11122
United Arab Emirates,ARE,both,2018,12.54852
Argentina,ARG,both,1970,5.961
Argentina,ARG,both,1980,6.74932
Argentina,ARG,both,1991,8.01231
Argentina,ARG,both,2001,8.77841
Argentina,ARG,both,2003,9.80576
Argentina,ARG,both,2006,10.31451
Argentina,ARG,both,2008,10.51253
Argentina,ARG,both,2009,10.64455
Argentina,ARG,both,2010,10.69098
Argentina,ARG,both,2011,10.79015
Argentina,ARG,both,2012,10.86789
Argentina,ARG,both,2013,10.96858
Argentina,ARG,both,2014,10.99034
Argentina,ARG,both,2015,10.9999
Argentina,ARG,both,2016,10.99897
Argentina,ARG,both,2018,11.16078
Armenia,ARM,both,2001,10.45174
Armenia,ARM,both,2011,11.30916
Armenia,ARM,both,2015,11.69998
Armenia,ARM,both,2017,11.30174
Australia,AUS,both,1971,9.73432
Australia,AUS,both,2004,11.82016
Australia,AUS,both,2005,11.86393
Australia,AUS,both,2006,11.97422
Australia,AUS,both,2007,12.0655
Australia,AUS,both,2008,12.29526
Australia,AUS,both,2009,12.35454
Australia,AUS,both,2010,12.41071
Australia,AUS,both,2011,12.49883
Australia,AUS,both,2012,12.70935
Australia,AUS,both,2013,12.04686
Australia,AUS,both,2014,12.1965
Australia,AUS,both,2015,12.27517
Australia,AUS,both,2016,12.38612
Australia,AUS,both,2017,12.36087
Australia,AUS,both,2018,12.50712
Austria,AUT,both,1971,9.61983
Austria,AUT,both,1981,10.13896
Austria,AUT,both,2005,11.58015
Austria,AUT,both,2007,11.55305
Austria,AUT,both,2008,11.49082
Austria,AUT,both,2009,11.69434
Austria,AUT,both,2010,11.73423
Austria,AUT,both,2011,11.7306
Austria,AUT,both,2012,11.77063
Austria,AUT,both,2013,11.80627
Austria,AUT,both,2014,12.0145
Austria,AUT,both,2015,12.09431
Austria,AUT,both,2016,12.09449
Austria,AUT,both,2017,12.1759
Azerbaijan,AZE,both,1999,9.91747
Azerbaijan,AZE,both,2007,10.43555
Azerbaijan,AZE,both,2008,10.44655
Azerbaijan,AZE,both,2009,10.45223
Azerbaijan,AZE,both,2010,10.46595
Azerbaijan,AZE,both,2011,10.46714
Azerbaijan,AZE,both,2012,10.47151
Azerbaijan,AZE,both,2013,10.47588
Azerbaijan,AZE,both,2014,10.47768
Azerbaijan,AZE,both,2015,10.47585
Azerbaijan,AZE,both,2016,10.5554
Azerbaijan,AZE,both,2017,10.5446
Burundi,BDI,both,1990,1.46178
Burundi,BDI,both,2008,2.43024
Burundi,BDI,both,2014,2.02313
Burundi,BDI,both,2017,2.80633
Belgium,BEL,both,1970,7.42445
Belgium,BEL,both,2006,11.04704
Belgium,BEL,both,2008,11.17626
Belgium,BEL,both,2009,11.31094
Belgium,BEL,both,2010,11.40962
Belgium,BEL,both,2011,11.46376
Belgium,BEL,both,2012,11.49337
Belgium,BEL,both,2013,11.64727
Belgium,BEL,both,2014,11.76037
Belgium,BEL,both,2015,12.01187
Belgium,BEL,both,2016,12.10322
Belgium,BEL,both,2017,12.36665
Benin,BEN,both,1979,0.66498
Benin,BEN,both,1992,1.65131
Benin,BEN,both,2002,2.46291
Burkina Faso,BFA,both,2006,1.31811
Burkina Faso,BFA,both,2007,0.55934
Burkina Faso,BFA,both,2014,1.37322
Bangladesh,BGD,both,1974,1.25016
Bangladesh,BGD,both,1981,2.0527
Bangladesh,BGD,both,2001,4.39687
Bangladesh,BGD,both,2011,5.19887
Bangladesh,BGD,both,2012,5.30234
Bangladesh,BGD,both,2013,5.06477
Bangladesh,BGD,both,2014,5.1944
Bangladesh,BGD,both,2015,5.98583
Bangladesh,BGD,both,2016,6.11389
Bangladesh,BGD,both,2017,6.27025
Bangladesh,BGD,both,2018,6.38588
Bangladesh,BGD,both,2019,6.54998
Bulgaria,BGR,both,1975,4.64274
Bulgaria,BGR,both,1992,7.30321
Bulgaria,BGR,both,2001,10.07289
Bulgaria,BGR,both,2006,10.52473
Bulgaria,BGR,both,2007,10.64563
Bulgaria,BGR,both,2008,10.68894
Bulgaria,BGR,both,2009,10.74154
Bulgaria,BGR,both,2010,10.81686
Bulgaria,BGR,both,2011,10.87309
Bulgaria,BGR,both,2012,10.98448
Bulgaria,BGR,both,2013,11.09708
Bulgaria,BGR,both,2014,11.14524
Bulgaria,BGR,both,2015,11.27833
Bulgaria,BGR,both,2016,11.32017
Bulgaria,BGR,both,2017,11.36009
Bahrain,BHR,both,1971,1.88748
Bahrain,BHR,both,1991,5.19348
Bahrain,BHR,both,2001,8.52635
Bahrain,BHR,both,2010,8.01587
Bahrain,BHR,both,2016,9.25912
Bahrain,BHR,both,2017,9.5192
Bahrain,BHR,both,2018,10.47993
"Bahamas, The",BHS,both,1990,9.43642
"Bahamas, The",BHS,both,2000,11.04335
"Bahamas, The",BHS,both,2010,11.89006
Bosnia and Herzegovina,BIH,both,2010,7.13215
Bosnia and Herzegovina,BIH,both,2011,7.26067
Bosnia and Herzegovina,BIH,both,2014,8.91776
Bosnia and Herzegovina,BIH,both,2015,9.00841
Bosnia and Herzegovina,BIH,both,2016,9.7047
Bosnia and Herzegovina,BIH,both,2018,9.81787
Belarus,BLR,both,1970,6.2792
Belarus,BLR,both,1989,7.14679
Belarus,BLR,both,2009,11.33366
Belize,BLZ,both,1970,4.61757
Belize,BLZ,both,1980,5.03326
Belize,BLZ,both,1991,5.62865
Belize,BLZ,both,2005,7.61368
Belize,BLZ,both,2010,10.49766
Bermuda,BMU,both,1970,8.67257
Bermuda,BMU,both,1991,10.91937
Bermuda,BMU,both,2000,12.77649
Bermuda,BMU,both,2010,10.96161
Bermuda,BMU,both,2016,12.5439
Bolivia,BOL,both,1976,3.82618
Bolivia,BOL,both,1992,6.3234
Bolivia,BOL,both,2001,7.36086
Bolivia,BOL,both,2006,7.12275
Bolivia,BOL,both,2008,7.41362
Bolivia,BOL,both,2009,7.71865
Bolivia,BOL,both,2012,8.03513
Bolivia,BOL,both,2015,8.68271
Brazil,BRA,both,1970,2.49451
Brazil,BRA,both,1976,2.45397
