Country Name,Country Code,Indicator Name,Indicator Code,year,primary_enrollment_gross_pct
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2001,110.349670410156
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2002,115.669448852539
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2003,115.985000610352
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2004,117.217170715332
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2005,116.929039001465
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2006,117.987739562988
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2007,116.970039367676
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2008,116.013900756836
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2009,117.527481079102
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2010,119.795837402344
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2011,106.374038696289
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2012,104.07494354248
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2013,114.985320023488
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,116.261992182873
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,115.01140867059
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,113.637463697967
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2018,107.985168457031
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2019,108.025001525879
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2020,107.235336303711
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2021,108.599510192871
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2022,102.620727539062
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2024,107.716996929947
Africa Eastern and Southern,AFE,"School enrollment, primary (% gross)",SE.PRM.ENRR,1970,61.9125595092773
Africa Eastern and Southern,AFE,"School enrollment, primary (% gross)",SE.PRM.ENRR,1971,58.6986808776855
Africa Eastern and Southern,AFE,"School enrollment, primary (% gross)",SE.PRM.ENRR,1972,59.4477310180664
Africa Eastern and Southern,AFE,"School enrollment, primary (% gross)",SE.PRM.ENRR,1973,60.6062698364258
Africa Eastern and Southern,AFE,"School enrollment, primary (% gross)",SE.PRM.ENRR,1974,64.0002288818359
Africa Eastern and Southern,AFE,"School enrollment, primary (% gross)",SE.PRM.ENRR,1975,66.2727508544922
