Country Name,Country Code,Indicator Name,Indicator Code,year,tertiary_enrollment_gross_pct
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2001,28.8601303100586
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2002,28.5816898345947
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2003,30.3779106140137
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2004,30.352689743042
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2005,36.204231262207
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2006,34.2268714904785
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2007,34.8968086242676
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2008,35.0970611572266
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2009,34.4308586120605
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2010,36.0625305175781
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2011,37.8648109436035
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2012,38.8641815185547
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2013,17.1258697509766
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,17.7518997192383
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,16.7312393188477
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2016,17.1416206359863
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2024,14.0655418559377
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1970,1.88971996307373
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1971,1.82993996143341
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1972,1.93185997009277
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1973,1.89342999458313
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1974,1.97111999988556
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1975,2.0278000831604
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1976,2.06860995292664
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1977,2.10810995101929
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1978,2.19693994522095
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1979,2.24832010269165
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1980,2.31379008293152
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1981,2.37480998039246
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1982,2.54147005081177
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1983,2.57652997970581
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1984,2.61872005462646
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1985,2.71170997619629
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1986,2.80894994735718
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1987,2.90907001495361
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1988,3.01823997497559
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1989,3.1723198890686
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1990,3.19349002838135
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1991,3.32539010047913
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1992,3.44453001022339
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1993,3.58260989189148
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1994,3.75828003883362
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1995,3.77903008460998
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1996,3.79064011573792
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1997,3.8187301158905
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1998,3.85899996757507
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1999,3.8215799331665
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2000,3.99448990821838
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2001,4.2595100402832
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2002,4.5005898475647
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2003,4.8099799156189
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2004,5.12434005737305
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2005,5.39512014389038
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2006,5.67903995513916
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2007,5.82964992523193
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2008,6.22163009643555
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2009,6.78540992736816
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2010,7.34631013870239
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2011,7.71177005767822
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2012,7.9946699142456
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2013,8.18673038482666
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,8.29104042053223
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,8.43400001525879
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2016,8.57314014434814
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2017,8.71269035339355
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2018,8.7509298324585
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2019,8.67273044586182
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2020,8.71187019348145
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2021,8.66186046600342
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1970,0.769559979438782
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1971,0.928269982337952
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1972,0.959540009498596
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1973,1.10443997383118
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1974,1.03191995620727
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1975,1.12305998802185
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1976,1.26918995380402
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1977,1.40902996063232
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1978,1.80000996589661
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1979,1.91846001148224
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1982,2.01694989204407
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1986,2.19022011756897
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1987,1.71459996700287
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1990,2.21519994735718
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2003,1.37434995174408
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2004,1.39064002037048
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2009,3.93815994262695
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2011,3.68686008453369
