Series Name,Series Code,Country Name,Country Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Labor force, total",SL.TLF.TOTL.IN,Afghanistan,AFG,4372875,4509602,4651589,4684205,4702818,4947295,5259694,5459174,5672338,5937185,6089849,6273854,6563683,6823542,7149401,7518518,7857574,8229616,8575264,8883595,9223903,9215046,9192643,9060510,9128262,8617545,8846502,9145340,9433041
"Labor force, total",SL.TLF.TOTL.IN,Albania,ALB,1414713,1386216,1349592,1329781,1305821,1304298,1290479,1275726,1259700,1241897,1222005,1201455,1247208,1259163,1376922,1299606,1184290,1194487,1227883,1254637,1256406,1267869,1273761,1238064,1227911,1261497,1279356,1265271,1262236
"Labor force, total",SL.TLF.TOTL.IN,Algeria,DZA,8369970,8590732,8830321,9070882,9308223,9534659,9754476,9976118,10191263,10408612,10631111,10864872,11105183,11421278,11586989,11731223,11845414,11933136,12057287,12191778,12361094,12518797,12673323,11586994,11881915,13145205,13290460,13425069,13556625
"Labor force, total",SL.TLF.TOTL.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Angola,AGO,6147010,6362468,6582797,6813281,7055911,7311174,7582160,7870095,8170696,8483347,8810729,9150465,9502781,9873442,10270426,10636117,11009075,11376942,11740075,12119717,12515803,12917977,13331298,13484525,14529142,14812783,15255232,15787244,16321277
"Labor force, total",SL.TLF.TOTL.IN,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Argentina,ARG,16058261,16382407,16481391,16658086,16713495,16535085,17011226,17502349,17624307,17955872,18001087,18041663,18399678,18468692,18857586,19006986,19111596,19177885,19343227,19497873,19643677,20125838,20580300,19317784,20993886,21566906,22069879,22161435,22422031
"Labor force, total",SL.TLF.TOTL.IN,Armenia,ARM,1412814,1411779,1422494,1475960,1493640,1500767,1502199,1503545,1506023,1509698,1513707,1503687,1531465,1522315,1509387,1499083,1494270,1485574,1477065,1469687,1456321,1448464,1387309,1448279,1467125,1399516,1430641,1467933,1449654
"Labor force, total",SL.TLF.TOTL.IN,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Australia,AUS,9179631,9271447,9358682,9542614,9713101,9859433,10032150,10143548,10443456,10664324,10951719,11241263,11482552,11675443,11857590,12022336,12191663,12332149,12568796,12744765,13022869,13344850,13618789,13583584,13859964,14230223,14646578,14907959,15033307
"Labor force, total",SL.TLF.TOTL.IN,Austria,AUT,3815158,3848029,3874871,3883391,3872867,3955409,3985902,3946112,4012358,4078846,4165230,4207426,4248651,4265488,4291049,4340007,4382851,4407077,4460463,4541001,4567690,4608423,4627750,4607777,4650207,4715201,4762160,4763195,4731937
"Labor force, total",SL.TLF.TOTL.IN,Azerbaijan,AZE,4211106,4232868,4281195,4306234,4283030,4260614,4242455,4179032,4180297,4157327,4042762,4094522,4219228,4281288,4368984,4449918,4508074,4602987,4693026,4809412,4876185,4955866,4998924,5197914,4963081,5071753,5073676,5097655,5118728
"Labor force, total",SL.TLF.TOTL.IN,"Bahamas, The",BHS,165102,168035,170893,173823,176723,179578,182667,185918,189152,192637,196607,200608,204367,208102,211745,215079,218257,221339,224301,227165,230010,232799,235355,216992,223263,239500,241834,243754,245159
"Labor force, total",SL.TLF.TOTL.IN,Bahrain,BHR,264086,273175,282954,293400,307924,335569,366810,401712,445275,494758,551013,602188,661715,701770,677360,693460,719472,745356,777303,818900,871711,868320,846623,816393,837039,867174,903224,911274,932073
