Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,0.08,..,..,..,..,0.09,..,..,..,..,0.16,..,..,..,..,0.21,..,..,..,..,0.33,..,..,..,..,0.5,..,..,..,..,0.66,..,..,..,..,0.86,..,..,..,..,1.03,..,..,..,..,1.27,..,..,..,..,1.97,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,0.36,..,..,..,..,0.42,..,..,..,..,0.69,..,..,..,..,0.92,..,..,..,..,1.22,..,..,..,..,1.57,..,..,..,..,1.87,..,..,..,..,2.26,..,..,..,..,2.86,..,..,..,..,3.21,..,..,..,..,3.85,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,0.3,..,..,..,..,0.32,..,..,..,..,0.39,..,..,..,..,0.49,..,..,..,..,0.64,..,..,..,..,0.98,..,..,..,..,1.12,..,..,..,..,1.54,..,..,..,..,2,..,..,..,..,1.66,..,..,..,..,4.13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,0.72,..,..,..,..,0.81,..,..,..,..,1.14,..,..,..,..,1.43,..,..,..,..,1.78,..,..,..,..,2.63,..,..,..,..,2.5,..,..,..,..,2.93,..,..,..,..,4.5,..,..,..,..,3.39,..,..,..,..,4.81,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,4.37,..,..,..,..,4.71,..,..,..,..,3.72,..,..,..,..,4.78,..,..,..,..,5.84,..,..,..,..,7.34,..,..,..,..,8.12,..,..,..,..,7.9,..,..,..,..,9.19,..,..,..,..,9.63,..,..,..,..,9.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,5.06,..,..,..,..,5.39,..,..,..,..,4.28,..,..,..,..,5.35,..,..,..,..,6.39,..,..,..,..,7.78,..,..,..,..,8.5,..,..,..,..,8.22,..,..,..,..,9.48,..,..,..,..,9.85,..,..,..,..,9.93,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,5.68,..,..,..,..,6.23,..,..,..,..,6.68,..,..,..,..,8.08,..,..,..,..,9.53,..,..,..,..,10.03,..,..,..,..,10.18,..,..,..,..,9.24,..,..,..,..,9.82,..,..,..,..,10.11,..,..,..,..,9.21,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,6.02,..,..,..,..,6.44,..,..,..,..,7.01,..,..,..,..,8.2,..,..,..,..,9.55,..,..,..,..,9.91,..,..,..,..,10.08,..,..,..,..,8.97,..,..,..,..,9.77,..,..,..,..,10.03,..,..,..,..,9.17,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,0.6,..,..,..,..,0.55,..,..,..,..,0.77,..,..,..,..,1.22,..,..,..,..,1.8,..,..,..,..,2.76,..,..,..,..,3.51,..,..,..,..,4.34,..,..,..,..,4.9,..,..,..,..,4.98,..,..,..,..,6.35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,0.87,..,..,..,..,1.06,..,..,..,..,1.55,..,..,..,..,2.11,..,..,..,..,2.81,..,..,..,..,3.99,..,..,..,..,4.74,..,..,..,..,5.41,..,..,..,..,5.67,..,..,..,..,5.54,..,..,..,..,6.68,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,0.85,..,..,..,..,1.21,..,..,..,..,1.91,..,..,..,..,2.67,..,..,..,..,3.62,..,..,..,..,5.3,..,..,..,..,6.16,..,..,..,..,6.9,..,..,..,..,6.62,..,..,..,..,7.46,..,..,..,..,8.12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,1.4,..,..,..,..,2.25,..,..,..,..,3.02,..,..,..,..,3.78,..,..,..,..,4.75,..,..,..,..,6.57,..,..,..,..,7.18,..,..,..,..,7.5,..,..,..,..,6.69,..,..,..,..,7.12,..,..,..,..,7.41,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
