Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Afghanistan,AFG,51.491,49.623,47.488,47.056,46.492,44.952,44.087,43.831,42.538,42.162,41.759,40.973,40.702,40.288,39.646,39.364,38.732,38.171,37.624,37.138,36.601,36.342
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Albania,ALB,17.513,16.596,15.585,15.616,14.7,13.862,12.977,12.439,12.209,12.326,12.373,12.406,12.868,13.137,13.071,12.431,11.873,11.416,10.898,10.757,10.536,10.512
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Algeria,DZA,19.574,19.405,19.096,19.614,20.337,21.136,21.998,22.873,23.735,24.189,24.556,24.76,25.656,25.524,26.063,25.811,25.439,25.015,24.063,23.379,22.43,21.392
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,American Samoa,ASM,29.234,28.79,28.465,28.502,28.479,27.578,26.017,24.482,23.625,22.976,22.361,21.784,21.266,20.73,20.317,19.821,19.141,18.206,17.204,16.304,15.658,15.649
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Andorra,AND,11.54,11.405,10.728,9.537,10.253,10.502,10.498,10.04,10.46,10.101,10.742,10.469,10.172,9.03,8.973,9.132,8.432,7.831,7.159,6.993,6.831,6.828
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Angola,AGO,46.853,46.771,46.666,46.551,46.46,46.342,46.123,45.838,45.507,45.175,44.661,44.136,43.61,43.065,42.503,41.847,41.183,40.595,40.057,39.539,39.127,38.67
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Antigua and Barbuda,ATG,19.72,17.973,17.106,16.443,15.947,15.613,15.461,15.59,16.994,16.578,14.66,14.259,13.456,12.436,12.31,12.587,11.657,11.796,10.822,11.5,12.18,12.135
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Argentina,ARG,19.328,18.94,18.702,18.41,18.295,18.306,18.161,17.967,18.462,18.231,18.314,18.172,17.48,17.683,18.019,17.665,16.789,16.155,15.332,13.902,11.799,11.682
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Armenia,ARM,10.6,10,10.1,11.3,11.8,11.9,12,12.9,13.3,14.5,14.7,14.3,14,13.8,14.3,13.9,13.5,12.6,12.3,12.2,12.3,12.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Aruba,ABW,14.26,13.813,13.337,13.358,12.54,12.936,13.681,13.38,13.07,12.332,11.941,12.175,12.592,12.548,12.864,11.556,11.625,11.477,10.807,10.842,9.688,9.461
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Australia,AUS,13,12.7,12.8,12.6,12.3,12.8,12.9,14.1,14,13.9,13.7,13.6,13.7,13.3,13.2,12.9,12.9,12.6,12.6,12.1,11.5,12.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Austria,AUT,9.8,9.4,9.7,9.5,9.7,9.5,9.4,9.2,9.3,9.2,9.4,9.3,9.4,9.4,9.6,9.8,10,10,9.7,9.6,9.4,9.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Azerbaijan,AZE,14.5,13.6,13.5,13.8,15.8,16.9,17.6,17.7,17.4,17,18.3,19.2,18.8,18.3,17.9,17.2,16.3,14.6,14,14.1,12.5,11.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Bahamas, The",BHS,17.254,16.787,16.299,16.024,15.967,16.086,16.028,16.125,15.831,15.918,14.565,14.273,14.075,13.902,13.503,12.607,11.983,11.421,11.263,11.195,11.115,11.023
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bahrain,BHR,20.431,19.082,19.147,19.692,19.86,19.354,18.079,16.962,16.186,15.462,15.486,15.441,15.438,15.585,15.625,15.36,14.623,14.071,13.641,13.318,12.813,13.042
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bangladesh,BGD,29.589,29.174,28.526,27.745,26.994,26.055,25.252,24.526,23.685,22.829,21.874,21.114,20.709,20.55,20.298,20.254,20.226,19.991,20.069,20.131,20.289,20.414
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Barbados,BRB,15.147,15.053,14.219,14.044,13.472,12.913,12.553,12.85,12.756,12.756,12.768,12.46,12.153,12.029,11.905,11.798,11.706,11.628,11.539,11.446,11.334,11.287
