Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Afghanistan,AFG,..,..,180,190,210,250,270,330,370,460,530,550,640,670,640,590,560,530,520,520,490,380,370,370,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Albania,ALB,1130,1320,1420,1700,2170,2690,3130,3580,4160,4390,4430,4460,4430,4690,4750,4660,4670,4700,5400,5900,5970,6940,7720,8730,9910,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Algeria,DZA,1600,1720,1840,2090,2440,2910,3310,3780,4430,4570,4870,5050,5630,5970,6030,5390,4920,4440,4450,4480,4020,4120,4430,4950,5370,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46450,42450,44720,47600,47920,47570,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Angola,AGO,360,400,620,780,1190,1590,2090,2800,3450,3680,3780,3960,4750,5330,5430,4450,2910,2400,2270,2440,2020,1990,2340,2700,2840,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Antigua and Barbuda,ATG,11200,10610,10710,11680,12850,14050,15740,17310,17750,15750,14390,14100,14530,14500,14830,14550,15080,15860,17460,18250,15460,16660,18820,19970,21150,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Argentina,ARG,7400,6930,4010,3620,3340,4230,5440,6460,7600,7720,9160,10590,11770,12760,12240,12500,12130,13070,12390,11210,9040,10070,11890,12920,13530,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Armenia,ARM,630,680,760,910,1120,1460,1910,2600,3390,3140,3280,3360,3700,3940,4000,3910,3690,3900,4220,4650,4230,4580,5690,6850,7810,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Aruba,ABW,20060,20340,19220,21020,23610,19720,23920,22600,26780,24340,23050,23100,23970,24830,25260,25430,25560,26460,27970,29320,22790,26550,30160,31600,35570,..
