Country Code,year,projects,usd_const_2021,share_amount_estimated,log1p_usd_const_2021
AFG,2000,1,1283228.36439764,0.0,14.0648903995589
AFG,2001,2,2818330.50091676,0.0,14.85165560146912
AFG,2002,5,17983845.67632935,0.0,16.704984506079235
AFG,2003,6,17275664.089464568,0.0,16.66480942699062
AFG,2004,5,73087522.32900919,0.0,18.107168230658885
AFG,2005,3,56426067.08996785,0.0,17.848441809863424
AFG,2006,5,26648301.685127743,0.0,17.098236017434484
AFG,2007,5,25230568.41147075,0.0,17.043566889188202
AFG,2008,5,34141491.54400078,0.0,17.346023992711235
AFG,2009,4,10031802.715979077,0.0,16.121270975871866
AFG,2010,5,29212629.51833044,0.0,17.19011172571248
AFG,2011,5,19778020.42006221,0.0,16.80008184983617
AFG,2012,6,800289.779076342,0.0,13.592730414454875
AFG,2013,1,0.0,0.0,0.0
AFG,2014,6,2950061.866423343,0.0,14.897337038740915
AFG,2015,8,32796433.478667893,0.0,17.3058303625269
AFG,2016,11,52722527.60401548,0.0,17.780553409906968
AFG,2017,14,102065701.03121616,0.0,18.441127301441934
AFG,2018,14,8745640.781685727,0.0,15.984066052156647
AFG,2019,4,0.0,0.0,0.0
AFG,2020,11,12679734.611437527,0.45454545454545453,16.35551565592297
AFG,2021,15,61011455.90897336,0.2,17.926572222681852
AGO,2000,1,0.0,0.0,0.0
AGO,2001,3,16595949.26492778,0.0,16.624669263619595
AGO,2002,9,494402382.9393425,0.1111111111111111,20.018860285979912
AGO,2003,1,26796701.1441639,0.0,17.10378938358704
AGO,2004,5,989972578.9543478,0.0,20.71318780369353
AGO,2005,36,2859666557.6134505,0.0,21.77397086708388
AGO,2006,18,2454867757.855629,0.0,21.62133873069548
AGO,2007,37,3908210846.5522733,0.0,22.086345522474073
AGO,2008,5,198727772.5349087,0.0,19.107446473974232
AGO,2009,12,3392355925.3484936,0.0,21.944790480488074
AGO,2010,11,4363185300.882063,0.09090909090909091,22.196468201394364
AGO,2011,10,2765152082.713215,0.0,21.740361473559343
AGO,2012,14,1615084803.7762122,0.0,21.202653302939737
AGO,2013,28,5192052665.138473,0.0,22.370394960006013
AGO,2014,16,4981027215.563127,0.0,22.328901975098745
AGO,2015,10,6206224419.53314,0.0,22.548818564183605
AGO,2016,86,17982571891.38953,0.023255813953488372,23.61266889760629
AGO,2017,19,2999109857.607489,0.0,21.82158136778877
AGO,2018,18,4358053460.71136,0.0,22.195291340881287
AGO,2019,12,151038289.7715719,0.0,18.83304394390159
AGO,2020,12,66549809.622215204,0.08333333333333333,18.01346125715469
AGO,2021,5,83300000.0,0.2,18.237959119141873
ALB,2000,1,3079748.07455433,0.0,14.94035868233041
ALB,2001,1,99614193.1627861,0.0,18.416815224075563
ALB,2003,1,1583441.43124604,0.0,14.275111788913813
ALB,2004,2,6860896.697808251,0.0,15.741348850879492
ALB,2005,2,2678621.0875827554,0.0,14.8008130738441
ALB,2007,1,0.0,0.0,0.0
ALB,2009,2,0.0,0.0,0.0
ALB,2010,4,1420581.474512165,0.0,14.16657753878959
ALB,2011,4,1902496.75988439,0.0,14.458678191258358
ALB,2012,2,93056.9510553887,0.0,11.440977707698575
ALB,2013,2,0.0,0.0,0.0
ALB,2014,1,0.0,0.0,0.0
ALB,2015,5,1785539.4140724,0.0,14.395231680357178
ALB,2016,4,1948893.773428291,0.0,14.482772987000521
ALB,2017,5,5939424.1036358625,0.0,15.597122902755277
ALB,2018,6,169290.805999619,0.0,12.039379167656493
ALB,2019,4,1258357.33306544,0.0,14.045318519136574
ALB,2020,3,163058.20234856,0.3333333333333333,12.00186861843847
ALB,2021,3,0.0,0.0,0.0
ARG,2007,3,208872929.1007407,0.0,19.157236635079638
ARG,2009,1,0.0,0.0,0.0
ARG,2010,6,699217672.4118067,0.0,20.36547265860487
ARG,2011,3,246821640.38693666,0.0,19.324176534104694
ARG,2012,4,2865995489.7915015,0.0,21.77618159300555
ARG,2013,2,4051117.77079396,1.0,15.214503640637773
ARG,2014,12,8464611142.841263,0.08333333333333333,22.859159914540907
ARG,2015,8,10113829727.797583,0.125,23.037169604263514
ARG,2016,12,822175959.9031875,0.25,20.527464994471057
ARG,2017,22,2508057289.881206,0.09090909090909091,21.64277430271025
ARG,2018,9,10386925964.060057,0.3333333333333333,23.06381373351289
ARG,2019,19,1252774542.6722832,0.15789473684210525,20.948626563447977
ARG,2020,51,162606700.62935102,0.49019607843137253,18.906844969661314
