Country Code,year,projects_total,projects_with_amount,usd_const_2021_sum,share_amount_estimated,amount_coverage,log1p_usd_const_2021,cumulative_inv,treat_year,treat_500m,post_500m,rel_time
AFG,2000,1,1,1283228.36439764,0.0,1.0,14.0648903995589,1283228.36439764,2017.0,1,0,-17.0
AFG,2001,2,2,2818330.50091676,0.0,1.0,14.85165560146912,4101558.8653144,2017.0,1,0,-16.0
AFG,2002,5,4,17983845.67632935,0.0,0.8,16.704984506079235,22085404.541643746,2017.0,1,0,-15.0
AFG,2003,6,4,17275664.089464568,0.0,0.6666666666666666,16.66480942699062,39361068.631108314,2017.0,1,0,-14.0
AFG,2004,5,5,73087522.32900919,0.0,1.0,18.107168230658885,112448590.9601175,2017.0,1,0,-13.0
AFG,2005,3,2,56426067.08996785,0.0,0.6666666666666666,17.848441809863424,168874658.05008537,2017.0,1,0,-12.0
AFG,2006,5,3,26648301.685127743,0.0,0.6,17.098236017434484,195522959.7352131,2017.0,1,0,-11.0
AFG,2007,5,5,25230568.41147075,0.0,1.0,17.043566889188202,220753528.14668384,2017.0,1,0,-10.0
AFG,2008,5,4,34141491.54400078,0.0,0.8,17.346023992711235,254895019.69068462,2017.0,1,0,-9.0
AFG,2009,4,3,10031802.715979077,0.0,0.75,16.121270975871866,264926822.40666372,2017.0,1,0,-8.0
AFG,2010,5,5,29212629.51833044,0.0,1.0,17.19011172571248,294139451.9249941,2017.0,1,0,-7.0
AFG,2011,5,2,19778020.42006221,0.0,0.4,16.80008184983617,313917472.34505635,2017.0,1,0,-6.0
AFG,2012,6,1,800289.779076342,0.0,0.1666666666666666,13.592730414454875,314717762.1241327,2017.0,1,0,-5.0
AFG,2013,1,0,,0.0,0.0,0.0,,2017.0,1,0,-4.0
AFG,2014,6,3,2950061.866423343,0.0,0.5,14.897337038740917,317667823.99055606,2017.0,1,0,-3.0
AFG,2015,8,7,32796433.478667893,0.0,0.875,17.3058303625269,350464257.4692239,2017.0,1,0,-2.0
AFG,2016,11,6,52722527.60401548,0.0,0.5454545454545454,17.780553409906968,403186785.0732394,2017.0,1,0,-1.0
AFG,2017,14,7,102065701.03121616,0.0,0.5,18.44112730144193,505252486.1044556,2017.0,1,1,0.0
AFG,2018,14,2,8745640.781685727,0.0,0.1428571428571428,15.984066052156647,513998126.8861413,2017.0,1,1,1.0
AFG,2019,4,0,,0.0,0.0,0.0,,2017.0,1,1,2.0
AFG,2020,11,7,12679734.611437527,0.4545454545454545,0.6363636363636364,16.35551565592297,526677861.4975788,2017.0,1,1,3.0
AFG,2021,15,8,61011455.90897336,0.2,0.5333333333333333,17.926572222681852,587689317.4065522,2017.0,1,1,4.0
AGO,2000,1,0,,0.0,0.0,0.0,,2002.0,1,0,-2.0
AGO,2001,3,2,16595949.26492778,0.0,0.6666666666666666,16.624669263619595,16595949.26492778,2002.0,1,0,-1.0
AGO,2002,9,8,494402382.9393425,0.1111111111111111,0.8888888888888888,20.018860285979912,510998332.2042703,2002.0,1,1,0.0
AGO,2003,1,1,26796701.1441639,0.0,1.0,17.10378938358704,537795033.3484342,2002.0,1,1,1.0
AGO,2004,5,4,989972578.9543478,0.0,0.8,20.71318780369353,1527767612.302782,2002.0,1,1,2.0
AGO,2005,36,35,2859666557.6134505,0.0,0.9722222222222222,21.77397086708388,4387434169.916233,2002.0,1,1,3.0
AGO,2006,18,16,2454867757.855629,0.0,0.8888888888888888,21.62133873069548,6842301927.771862,2002.0,1,1,4.0
AGO,2007,37,35,3908210846.552273,0.0,0.945945945945946,22.086345522474076,10750512774.324135,2002.0,1,1,5.0
AGO,2008,5,4,198727772.5349087,0.0,0.8,19.107446473974232,10949240546.859043,2002.0,1,1,6.0
AGO,2009,12,5,3392355925.3484936,0.0,0.4166666666666667,21.944790480488077,14341596472.207537,2002.0,1,1,7.0
AGO,2010,11,6,4363185300.882063,0.0909090909090909,0.5454545454545454,22.196468201394364,18704781773.0896,2002.0,1,1,8.0
AGO,2011,10,6,2765152082.713215,0.0,0.6,21.740361473559343,21469933855.802814,2002.0,1,1,9.0
AGO,2012,14,9,1615084803.7762122,0.0,0.6428571428571429,21.202653302939737,23085018659.579025,2002.0,1,1,10.0
AGO,2013,28,20,5192052665.138473,0.0,0.7142857142857143,22.370394960006013,28277071324.7175,2002.0,1,1,11.0
AGO,2014,16,6,4981027215.563127,0.0,0.375,22.328901975098745,33258098540.280624,2002.0,1,1,12.0
AGO,2015,10,10,6206224419.53314,0.0,1.0,22.548818564183605,39464322959.81377,2002.0,1,1,13.0
AGO,2016,86,57,17982571891.38953,0.0232558139534883,0.6627906976744186,23.61266889760629,57446894851.20329,2002.0,1,1,14.0
AGO,2017,19,9,2999109857.607489,0.0,0.4736842105263157,21.82158136778877,60446004708.81078,2002.0,1,1,15.0
AGO,2018,18,11,4358053460.71136,0.0,0.6111111111111112,22.195291340881287,64804058169.52215,2002.0,1,1,16.0
AGO,2019,12,2,151038289.7715719,0.0,0.1666666666666666,18.83304394390159,64955096459.29372,2002.0,1,1,17.0
AGO,2020,12,7,66549809.6222152,0.0833333333333333,0.5833333333333334,18.01346125715469,65021646268.91593,2002.0,1,1,18.0
AGO,2021,5,2,83300000.0,0.2,0.4,18.237959119141877,65104946268.91593,2002.0,1,1,19.0
ALB,2000,1,1,3079748.07455433,0.0,1.0,14.94035868233041,3079748.07455433,,0,0,
ALB,2001,1,1,99614193.1627861,0.0,1.0,18.416815224075563,102693941.23734042,,0,0,
ALB,2003,1,1,1583441.43124604,0.0,1.0,14.275111788913811,104277382.66858646,,0,0,
ALB,2004,2,2,6860896.697808251,0.0,1.0,15.741348850879492,111138279.36639471,,0,0,
ALB,2005,2,2,2678621.0875827554,0.0,1.0,14.8008130738441,113816900.45397747,,0,0,
ALB,2007,1,0,,0.0,0.0,0.0,,,0,0,
ALB,2009,2,0,,0.0,0.0,0.0,,,0,0,
