Country Code,year,birth_rate_crude_per_1000
AFG,2000,51.491
ALB,2000,17.513
DZA,2000,19.574
ASM,2000,29.234
AND,2000,11.54
AGO,2000,46.853
ATG,2000,19.72
ARG,2000,19.328
ARM,2000,10.6
ABW,2000,14.26
AUS,2000,13.0
AUT,2000,9.8
AZE,2000,14.5
BHS,2000,17.254
BHR,2000,20.431
BGD,2000,29.589
BRB,2000,15.147
BLR,2000,9.4
BEL,2000,11.4
BLZ,2000,30.213
BEN,2000,42.079
BMU,2000,12.86
BTN,2000,25.18
BOL,2000,29.846
BIH,2000,10.231
BWA,2000,27.936
BRA,2000,19.879
VGB,2000,14.539
BRN,2000,19.803
BGR,2000,9.0
BFA,2000,45.239
BDI,2000,42.726
CPV,2000,27.862
KHM,2000,28.466
CMR,2000,40.878
CAN,2000,10.7
CYM,2000,15.444
CAF,2000,42.058
TCD,2000,51.589
CHI,2000,11.4
CHL,2000,16.322
CHN,2000,14.03
COL,2000,22.258
COM,2000,35.359
COD,2000,45.298
COG,2000,36.164
CRI,2000,20.237
CIV,2000,44.278
HRV,2000,9.8
CUB,2000,12.857
CUW,2000,16.479
CYP,2000,12.493
CZE,2000,8.9
DNK,2000,12.6
DJI,2000,33.459
DMA,2000,17.923
DOM,2000,25.557
ECU,2000,25.645
EGY,2000,27.392
SLV,2000,27.132
GNQ,2000,40.795
ERI,2000,37.969
EST,2000,9.4
SWZ,2000,32.59
ETH,2000,45.59
FRO,2000,15.3
FJI,2000,24.328
FIN,2000,11.0
FRA,2000,13.3
PYF,2000,21.396
GAB,2000,33.429
GMB,2000,41.055
GEO,2000,12.452
DEU,2000,9.3
GHA,2000,35.898
GIB,2000,14.723
GRC,2000,9.6
GRL,2000,15.6
GRD,2000,17.503
GUM,2000,23.039
GTM,2000,34.708
GIN,2000,41.833
GNB,2000,42.346
GUY,2000,26.231
HTI,2000,32.153
HND,2000,34.175
HKG,2000,8.1
HUN,2000,9.6
ISL,2000,15.3
IND,2000,27.518
IDN,2000,21.688
IRN,2000,15.966
IRQ,2000,36.107
IRL,2000,14.4
IMN,2000,12.487
ISR,2000,21.7
ITA,2000,9.5
JAM,2000,20.131
JPN,2000,9.5
JOR,2000,29.054
KAZ,2000,15.828
KEN,2000,40.238
KIR,2000,31.498
PRK,2000,17.521
KOR,2000,13.5
XKX,2000,18.117
KWT,2000,22.39
KGZ,2000,19.8
LAO,2000,32.901
LVA,2000,8.6
LBN,2000,21.306
LSO,2000,28.248
LBR,2000,43.238
LBY,2000,21.691
LIE,2000,12.9
LTU,2000,9.8
LUX,2000,13.1
MAC,2000,8.9
MDG,2000,42.0
MWI,2000,44.572
MYS,2000,22.603
MDV,2000,19.916
MLI,2000,47.091
MLT,2000,11.3
MHL,2000,38.152
MRT,2000,37.914
MUS,2000,17.0
MEX,2000,24.192
FSM,2000,32.151
MDA,2000,11.708
MCO,2000,12.23
MNG,2000,20.794
MNE,2000,15.2
MAR,2000,22.689
MOZ,2000,43.583
MMR,2000,23.164
NAM,2000,31.612
NRU,2000,28.238
NPL,2000,30.959
NLD,2000,13.0
NCL,2000,21.201
NZL,2000,14.66
NIC,2000,27.885
NER,2000,53.39
NGA,2000,43.892
MKD,2000,14.5
MNP,2000,21.957
NOR,2000,13.2
OMN,2000,23.841
PAK,2000,36.541
PLW,2000,14.377
PAN,2000,23.51
PNG,2000,34.423
PRY,2000,26.885
PER,2000,23.836
PHL,2000,29.285
POL,2000,9.9
PRT,2000,11.7
PRI,2000,15.59
QAT,2000,17.318
ROU,2000,10.4
RUS,2000,8.7
RWA,2000,42.112
WSM,2000,32.057
SMR,2000,12.004
STP,2000,39.748
SAU,2000,27.49
SEN,2000,39.3
SRB,2000,9.8
SYC,2000,18.6
SLE,2000,45.045
SGP,2000,13.7
