Country Code,primary_enroll_gross_pct_count,primary_enroll_gross_pct_mean,primary_enroll_gross_pct_min,primary_enroll_gross_pct_max,secondary_enroll_gross_pct_count,secondary_enroll_gross_pct_mean,secondary_enroll_gross_pct_min,secondary_enroll_gross_pct_max,birth_rate_crude_per_1000_count,birth_rate_crude_per_1000_mean,birth_rate_crude_per_1000_min,birth_rate_crude_per_1000_max,aid_years_with_usd,aid_share_years_with_usd_pct,aid_total_usd_const_2021,aid_avg_usd_const_2021,projects_sum,projects_mean,primary_enroll_gross_pct_std,secondary_enroll_gross_pct_std,birth_rate_crude_per_1000_std,usd_const_2021_count,usd_const_2021_mean,usd_const_2021_sum,usd_const_2021_min,usd_const_2021_max,aid_positive_sum,aid_positive_mean,projects_count,projects_min,projects_max
AFG,20,94.46556224822996,21.4578495025635,109.829452514648,17,40.88090408549589,13.959529876709,57.3578491210938,22,42.1390909090909,36.342,51.491,20,90.91,587689317.4065522,26713150.79120692,141.0,6.409090909090909,26.053738830143654,16.21518244435848,4.297679760600516,22,26713150.79120692,587689317.4065522,0.0,102065701.03121616,20,0.9090909090909091,22,1.0,15.0
BEN,21,105.71366555350163,77.2928009033203,121.990882873535,12,38.829172770182275,20.0005397796631,55.2945899963379,22,39.471909090909094,34.779,42.079,21,95.45,2577756551.424072,117170752.3374578,154.0,7.0,12.951966172824367,14.224680731827405,2.114398122377483,22,117170752.3374578,2577756551.424072,0.0,841800000.0,21,0.9545454545454546,22,1.0,25.0
BGD,10,99.23941630054146,90.3782272338867,110.066619873047,21,53.657104453913355,44.5729598999023,66.8282318620991,22,23.19518181818182,19.991,29.589,20,90.91,20791195118.84682,945054323.5839463,138.0,6.2727272727272725,7.138516064072935,8.139430452175677,3.4188264714019105,22,945054323.5839463,20791195118.84682,0.0,6618134977.667856,20,0.9090909090909091,22,0.0,18.0
ETH,18,82.54149944343317,52.2387313842773,112.6701710274,14,26.728668515535084,14.451319694519,36.2193489074707,22,37.610136363636364,32.876,45.59,21,95.45,21375996139.099224,971636188.1408738,261.0,11.863636363636363,17.425703924449024,7.2434182768146425,4.57541995257531,22,971636188.1408738,21375996139.099224,0.0,5872508463.202027,21,0.9545454545454546,22,0.0,23.0
KHM,22,114.85427696532993,99.6739108443274,129.551315307617,13,38.5480700864136,18.1284408569336,54.2809323078227,22,25.131863636363633,21.905,28.466,22,100.0,17728993989.91838,805863363.1781082,369.0,16.772727272727273,10.9527822213137,12.834762314330904,1.7633915454102191,22,805863363.1781082,17728993989.91838,7041125.214140724,2942319015.783209,22,1.0,22,2.0,28.0
LAO,22,110.3193277076883,99.1101994809825,119.705680847168,22,50.34570869441697,33.2670707702637,66.1528570578416,22,26.983409090909092,22.147,32.901,22,100.0,21268076904.218925,966730768.3735875,306.0,13.909090909090908,6.498625078914444,10.808391668070804,3.1067473521980506,22,966730768.3735875,21268076904.218925,47031523.10183776,4589788738.444315,22,1.0,22,1.0,26.0
MOZ,20,106.731989483804,73.2299194335938,118.980061431837,16,21.09957871678254,5.94095993041992,37.2411918640137,22,41.23940909090909,38.403,43.583,21,95.45,6122502820.345508,278295582.7429776,134.0,6.090909090909091,13.737311354221625,10.568920279391998,1.4800618924989908,22,278295582.7429776,6122502820.345508,0.0,2412900945.062848,21,0.9545454545454546,22,2.0,17.0
SDN,19,64.90805113943,54.9207382202148,72.3981094360352,19,38.082635578356296,32.1063385009766,43.5378608703613,22,37.46081818181818,33.913,40.836,22,100.0,18866838645.614723,857583574.8006692,268.0,12.181818181818182,5.564254646337702,3.847416103907078,2.2794035693651646,22,857583574.8006692,18866838645.614723,84296.1890561751,4111371560.777093,22,1.0,22,4.0,26.0
TGO,22,117.18053602654427,107.236228942871,126.10501578594,11,45.15843843978098,31.6074600219727,63.0669365853803,22,36.03490909090909,32.015,38.043,21,95.45,1528150517.1079736,69461387.14127153,134.0,6.090909090909091,6.2097334468822405,10.018126196130888,2.0755011078013963,22,69461387.14127153,1528150517.1079736,0.0,304635596.82320786,21,0.9545454545454546,22,1.0,15.0
TZA,22,94.50632943498381,69.492431640625,109.176727294922,10,28.994144793264176,25.6429992626308,32.3857446198788,22,39.071363636363635,36.015,41.528,22,100.0,3759287530.7409687,170876705.94277132,246.0,11.181818181818182,10.305128736362699,2.4201142194367873,1.8404946939925522,22,170876705.94277132,3759287530.7409687,487212.748075707,1368217280.5781252,22,1.0,22,3.0,26.0
