year,primary_enroll_gross_pct,secondary_enroll_gross_pct,birth_rate_crude_per_1000,usd_const_2021
2000,76.62942719459537,24.302398817879816,39.4011,1425101594.4460137
2001,77.7510573069255,25.591788080003514,38.8725,2270291662.6787467
2002,88.22455512152779,29.133061051368724,38.2325,1015157744.1298958
2003,93.48944902420045,31.30276775360109,37.819,3054085209.4768167
2004,96.30718061659076,30.702983326382114,37.4135,2068512691.3050091
2005,97.81626205444334,32.26220839364189,36.8957,2291077018.6275587
2006,99.79641113281255,34.99775469303131,36.519600000000004,1368603979.7089198
2007,100.83212195502388,35.61828541755676,36.2017,6399931968.739808
2008,103.21123580932617,37.03680338178363,35.744299999999996,1830266250.606499
2009,104.4064376831054,38.70812288920085,35.3902,5329522547.481405
2010,105.16970154245784,39.57582033471574,34.9664,6790197964.130529
2011,104.57536488038832,42.83472561140877,34.384100000000004,3633408856.512296
2012,105.09641631340256,42.61182553059362,33.928700000000006,10397597052.60949
2013,107.19414765206281,46.1416643291181,33.5638,9115712522.071104
2014,104.28471663614933,45.0910530090332,33.178,6789185278.680864
2015,103.6921719765095,45.88195945583265,32.9525,4223383211.7529364
2016,103.7027757515541,50.709614470931946,32.691,8917898289.156734
2017,102.82629675447109,50.04162537534549,32.330799999999996,6462162046.983473
2018,103.41723584381525,51.618564031395444,32.0283,12750489693.827356
2019,102.99815678024292,50.71193317956192,31.6827,9762859653.746984
2020,108.86136312710111,51.121684642062164,31.266499999999997,4908657227.064921
2021,104.76701242905703,52.75571517595134,30.880899999999997,3802385070.985789
